ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,employees,revenues,profits,hq zip,website,fortune 500 rank,revenue change,profit change,assets,hq state
130,Aetna Inc.,AET,Health Care: Insurance and Managed Care,Health Care,"Hartford, CT",151 Farmington Ave.,17,Mark T. Bertolini,49500,63155,2271,6156,http://www.aetna.com,43,4.7,-5,69146,Connecticut
131,"PepsiCo, Inc.",PEP,Food Consumer Products,"Food, Beverages & Tobacco","Purchase, NY",700 Anderson Hill Rd.,23,Indra K. Nooyi,264000,62799,6329,10577,http://www.pepsico.com,44,-0.4,16.1,74129,New York
132,ENI SpA,E,Petroleum Refining,Energy,"Rome, Italy",Piazzale Enrico Mattei 1,23,Claudio Descalzi,33536,62694,-1619,144,http://www.eni.com,,-32.6,,131349,
133,China Telecommunications Corporation,,Telecommunications,Telecommunications,"Beijing, China",31 Jinrong St.,18,Yang Jie,413536,62387,1764.6,100033,http://www.chinatelecom.com.cn,,1,2.9,115819,
134,Archer-Daniels-Midland Company,ADM,Food Production,"Food, Beverages & Tobacco","Chicago, IL",77 W. Wacker Dr.,23,Juan R. Luciano,31800,62346,1279,60601,http://www.adm.com,45,-7.9,-30.8,39769,Illinois
135,China North Industries Group Corporation,,Aerospace and Defense,Aerospace & Defense,"Beijing, China",44 Sanlihe St.,8,Yin Jiaxu,234771,61326,853,100821,http://www.norincogroup.com.cn,,-0.5,6.2,53140,
136,COFCO Corporation,,Trading,Wholesalers,"Beijing, China",8 Chao Yang Men S. St.,23,Yu Xubo,101708,61265,204.5,100020,http://www.cofco.com,,-5,-23,72072,
137,"Beijing Automotive Group Co., Ltd.",,Motor Vehicles and Parts,Motor Vehicles & Parts,"Beijing, China",99 Shuanghe St.,5,Xu Heyi,134765,61130,1260.6,101300,http://www.baicgroup.com.cn,,11.3,14.9,57783,
138,"United Parcel Service, Inc.",UPS,"Mail, Package, and Freight Delivery",Transportation,"Atlanta, GA",55 Glenlake Pkwy. N.E.,23,David P. Abney,335520,60906,3431,30328,http://www.ups.com,46,4.4,-29.2,40377,Georgia
139,"Anbang Insurance Group Co., Ltd.",,"Insurance: Life, Health (Mutual)",Financials,"Beijing, China",6 Jianguomenwai Ave.,1,Wu Xiaohui,40707,60800,3883.9,100022,http://www.anbanggroup.com,,124,0.9,430040,
140,Peugeot S.A.,PUGOY,Motor Vehicles and Parts,Motor Vehicles & Parts,"Paris, France",75 Ave. de la Grande Armee,23,Carlos Tavares,175341,59749,1913.1,75116,http://www.groupe-psa.com,,-1.5,91.8,47620,
141,"Albertsons Companies, Inc.",,Food and Drug Stores,Food & Drug Stores,"Boise, ID",250 Parkcenter Blvd.,13,Robert G. Miller,273000,59678,-373.3,83706,http://www.albertsons.com,49,1.6,,23755,Idaho
142,"Dai-ichi Life Holdings, Inc.",DCNSF,"Insurance: Life, Health (stock)",Financials,"Tokyo, Japan",1-13-1 Yurakucho,23,Seiji Inagaki,62606,59590,2134.5,100-8411,http://www.dai-ichi-life-hd.com,,-2.5,43.5,466617,
143,Sinochem Group,,Trading,Wholesalers,"Beijing, China",28 Fuxingmennei St.,22,Ning Gaoning,60576,59533,468,100031,http://www.sinochem.com,,-1.9,,57484,
144,Intel Corporation,INTC,Semiconductors and Other Electronic Components,Technology,"Santa Clara, CA",2200 Mission College Blvd.,23,Brian M. Krzanich,106000,59387,10316,95054,http://www.intel.com,47,7.3,-9.7,113327,California
145,Mitsubishi Corporation,MSBHY,Trading,Wholesalers,"Tokyo, Japan",2-3-1 Marunouchi,23,Takehiko Kakiuchi,77164,59303,4063.5,100-8086,http://www.mitsubishicorp.com,,2.8,,141402,
146,Auchan Holding SA,,Food and Drug Stores,Food & Drug Stores,"Croix, France",40 Ave. de Flandre,21,Wilhelm Hubner,342709,58862,652.4,59170,http://www.auchanholding.com,,-2.2,13.5,38537,
147,Aegon N.V.,AEG,"Insurance: Life, Health (stock)",Financials,"The Hague, Netherlands",Aegonplein 50,22,Alexander R. Wynaendts,29380,58789,483.3,2591,http://www.aegon.com,,50.5,-38.7,448666,
148,"Prudential Financial, Inc.",PRU,"Insurance: Life, Health (stock)",Financials,"Newark, NJ",751 Broad St.,23,John R. Strangfeld,49739,58779,4368,7102,http://www.prudential.com,48,2.9,-22.6,783962,New Jersey
