ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,eps,employees,revenues,profits,hq zip,website,market value,global 500 rank,revenue change,profit change,hq state
232,"D.R. Horton, Inc.",DHI,Homebuilders,Engineering & Construction,"Arlington, TX",1341 Horton Circle,15,David V. Auld,2.36,6976,12157,886.3,76011,http://www.drhorton.com,12438,,12.3,18.1,TX
233,Bed Bath & Beyond Inc.,BBBY,Specialty Retailers: Other,Retailing,"Union, NJ",650 Liberty Ave.,14,Steven H. Temares,5.1,62000,12104,841.5,7083,http://www.bedbathandbeyond.com,5931,,1.9,-12.1,NJ
234,"Consolidated Edison, Inc.",ED,Utilities: Gas and Electric,Energy,"New York, NY",4 Irving Place,23,John McAvoy,4.12,14960,12075,1245,10003,http://www.conedison.com,23708,,-3.8,4.4,NY
235,Edison International,EIX,Utilities: Gas and Electric,Energy,"Rosemead, CA",2244 Walnut Grove Ave.,23,Pedro J. Pizarro,3.97,12390,11869,1311,91770,http://www.edisoninvestor.com,25938,,3,28.5,CA
236,The Sherwin-Williams Company,SHW,Chemicals,Chemicals,"Cleveland, OH",101 W. Prospect Ave.,23,John G. Morikis,11.99,42550,11856,1132.7,44115,http://www.sherwin.com,28891,,4.6,7.5,OH
237,NGL Energy Partners LP,NGL,Energy,Energy,"Tulsa, OK",6120 S. Yale Ave.,3,H. Michael Krimbill,-2.35,3200,11742,-198.9,74136,http://www.nglenergypartners.com,2686,,-30.1,-633.2,OK
238,"Dominion Energy, Inc.",D,Utilities: Gas and Electric,Energy,"Richmond, VA",120 Tredegar St.,23,Thomas F. Farrell II,3.44,16200,11737,2123,23219,http://www.dominionenergy.com,48732,,0.5,11.8,VA
239,"Ameriprise Financial, Inc.",AMP,Diversified Financials,Financials,"Minneapolis, MN",55 Ameriprise Financial Center,11,James M. Cracchiolo,7.81,13195,11735,1314,55474,http://www.ameriprise.com,19953,,-3.8,-15.9,MN
240,"Automatic Data Processing, Inc.",ADP,Diversified Outsourcing Services,Business Services,"Roseland, NJ",1 ADP Blvd.,23,Carlos A. Rodriguez,3.25,57000,11668,1492.5,7068,http://www.adp.com,45963,,1.7,2.8,NJ
241,Hilton Worldwide Holdings Inc.,HLT,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","McLean, VA",7930 Jones Branch Dr.,14,Christopher J. Nassetta,1.05,169000,11663,348,22102,http://www.hiltonworldwide.com,19276,,3.5,-75.2,VA
242,First Data Corporation,FDC,Financial Data Services,Business Services,"Atlanta, GA",5565 Glenridge Connector N.E.,23,Frank J. Bisignano,0.46,24000,11584,420,30342,http://www.firstdata.com,14224,,1.2,,GA
243,"Henry Schein, Inc.",HSIC,Wholesalers: Health Care,Wholesalers,"Melville, NY",135 Duryea Rd.,14,Stanley M. Bergman,6.19,21000,11572,506.8,11747,http://www.henryschein.com,13461,,8.9,5.8,NY
244,"Toys ""R"" Us, Inc.",,Specialty Retailers: Other,Retailing,"Wayne, NJ",1 Geoffrey Way,23,David A. Brandon,,64000,11540,-36,7470,http://www.toysrusinc.com,,,-2.2,,NJ
245,BB&T Corporation,BBT,Commercial Banks,Financials,"Winston-Salem, NC",200 W. Second St.,19,Kelly S. King,2.77,37500,11538,2426,27101,http://www.bbt.com,36141,,11.5,16.4,NC
246,"Reinsurance Group of America, Incorporated",RGA,"Insurance: Life, Health (Stock)",Financials,"Chesterfield, MO",16600 Swingley Ridge Rd.,8,Anna Manning,10.79,2371,11522,701.4,63017,http://www.rgare.com,8169,,10.6,39.7,MO
247,"Core-Mark Holding Company, Inc.",CORE,Wholesalers: Food and Grocery,Wholesalers,"South San Francisco, CA",395 Oyster Point Blvd.,8,Thomas B. Perkins,1.17,7688,11507,54.2,94080,http://www.core-mark.com,1445,,29.9,5.2,CA
248,Biogen Inc.,BIIB,Pharmaceuticals,Health Care,"Cambridge, MA",225 Binney St.,8,Michel Vounatsos,16.93,7400,11449,3702.8,2142,http://www.biogen.com,59046,,6.4,4.4,MA
249,Las Vegas Sands Corp.,LVS,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","Las Vegas, NV",3355 Las Vegas Blvd. S.,8,Sheldon G. Adelson,2.1,49000,11410,1670,89109,http://www.sands.com,45313,,-2.4,-15.1,NV
250,"Stanley Black & Decker, Inc.",SWK,"Home Equipment, Furnishings",Household Products,"New Britain, CT",1000 Stanley Dr.,10,James M. Loree,6.51,54023,11407,965.3,6053,http://www.stanleyblackanddecker.com,20280,,1.7,9.2,CT
251,Parker-Hannifin Corporation,PH,Industrial Machinery,Industrials,"Cleveland, OH",6035 Parkland Blvd.,23,Thomas L. Williams,5.89,48950,11361,806.8,44124,http://www.parker.com,21370,,-10.6,-20.3,OH
252,Stryker Corporation,SYK,Medical Products and Equipment,Health Care,"Kalamazoo, MI",2825 Airview Blvd.,15,Kevin A. Lobo,4.35,33000,11325,1647,49002,http://www.stryker.com,49115,,13.9,14.5,MI
253,The Estee Lauder Companies Inc.,EL,Household and Personal Products,Household Products,"New York, NY",767 Fifth Ave.,22,Fabrizio Freda,2.96,46000,11262,1114.6,10153,http://www.elcompanies.com,31068,,4.5,2.4,NY
254,Celgene Corporation,CELG,Pharmaceuticals,Health Care,"Summit, NJ",86 Morris Ave.,6,Mark J. Alles,2.49,7132,11229,1999.2,7901,http://www.celgene.com,96802,,21.3,24.8,NJ
255,"BlackRock, Inc.",BLK,Securities,Financials,"New York, NY",55 E. 52nd St.,10,Laurence D. Fink,19.04,13000,11155,3172,10055,http://www.blackrock.com,62225,,-2.2,-5.2,NY
256,Xcel Energy Inc.,XEL,Utilities: Gas and Electric,Energy,"Minneapolis, MN",414 Nicollet Mall,21,Benjamin G.S. Fowke III,2.21,11476,11107,1123.4,55401,http://www.xcelenergy.com,22546,,0.7,14.1,MN
257,CSX Corporation,CSX,Railroads,Transportation,"Jacksonville, FL",500 Water St.,23,E. Hunter Harrison,1.81,26628,11069,1714,32202,http://www.csx.com,43126,,-6.3,-12.9,FL
258,Unum Group,UNM,"Insurance: Life, Health (Stock)",Financials,"Chattanooga, TN",1 Fountain Sq.,22,Richard P. McKenney,3.95,9400,11047,931.4,37402,http://www.unum.com,10749,,2.9,7.4,TN
259,Jacobs Engineering Group Inc.,JEC,"Engineering, Construction",Engineering & Construction,"Dallas, TX",1999 Bryan St.,17,Steven J. Demetriou,1.73,49350,10964,210.5,75201,http://www.jacobs.com,6693,,-9.5,-30.5,TX
260,Lennar Corporation,LEN,Homebuilders,Engineering & Construction,"Miami, FL",700 N.W. 107th Ave.,13,Stuart A. Miller,3.93,8335,10950,911.8,33172,http://www.lennar.com,12002,,15.6,13.6,FL
261,"Group 1 Automotive, Inc.",GPI,"Automotive Retailing, Services",Retailing,"Houston, TX",800 Gessner Rd.,17,Earl J. Hesterberg,6.67,13500,10888,147.1,77024,http://www.group1auto.com,1584,,2.4,56.5,TX
262,Leucadia National Corporation,LUK,Diversified Financials,Financials,"New York, NY",520 Madison Ave.,5,Richard B. Handler,0.34,13000,10875,130,10022,http://www.leucadia.com,9355,,-6.9,-54.2,NY
263,Entergy Corporation,ETR,Utilities: Gas and Electric,Energy,"New Orleans, LA",639 Loyola Ave.,23,Leo P. Denault,-3.26,13513,10846,-583.6,70113,http://www.entergy.com,13685,,-5.8,,LA
264,"PayPal Holdings, Inc.",PYPL,Financial Data Services,Business Services,"San Jose, CA",2211 N. First St.,2,Daniel H. Schulman,1.15,18100,10842,1401,95131,http://www.paypal.com,51650,,17.2,14.1,CA
265,"Applied Materials, Inc.",AMAT,Semiconductors and Other Electronic Components,Technology,"Santa Clara, CA",3050 Bowers Ave.,22,Gary E. Dickerson,1.54,16150,10825,1721,95054,http://www.appliedmaterials.com,42005,,12.1,25,CA
266,"Voya Financial, Inc.",VOYA,Diversified Financials,Financials,"New York, NY",230 Park Ave.,3,Rodney O. Martin Jr.,-2.13,6700,10782,-428,10169,http://www.voya.com,7191,,-4.9,-204.8,NY
267,Mastercard Incorporated,MA,Financial Data Services,Business Services,"Purchase, NY",2000 Purchase St.,9,Ajay Banga,3.69,11900,10776,4059,10577,http://www.mastercard.com,121234,,11.5,6.6,NY
268,The Priceline Group Inc.,PCLN,Internet Services and Retailing,Technology,"Norwalk, CT",800 Connecticut Ave.,5,Glenn D. Fogel,42.65,18500,10743,2135,6854,http://www.pricelinegroup.com,87522,,16.5,-16.3,CT
269,Liberty Interactive Corporation,QVCA,Internet Services and Retailing,Retailing,"Englewood, CO",12300 Liberty Blvd.,13,Gregory B. Maffei,,21080,10647,1235,80112,http://www.libertyinteractive.com,9101,,6.6,42.1,CO
270,"AutoZone, Inc.",AZO,Specialty Retailers: Other,Retailing,"Memphis, TN",123 S. Front St.,19,William C. Rhodes III,40.7,66780,10636,1241,38103,http://www.autozone.com,20540,,4.4,7,TN
271,State Street Corporation,STT,Commercial Banks,Financials,"Boston, MA",1 Lincoln St.,22,Joseph L. Hooley,4.97,33783,10635,2143,2111,http://www.statestreet.com,30406,,-1.2,8.2,MA
272,DTE Energy Company,DTE,Utilities: Gas and Electric,Energy,"Detroit, MI",1 Energy Plaza,23,Gerard M. Anderson,4.83,10000,10630,868,48226,http://www.dteenergy.com,18317,,2.8,19.4,MI
273,"L3 Technologies, Inc.",LLL,Aerospace and Defense,Aerospace & Defense,"New York, NY",600 Third Ave.,15,Michael T. Strianese,9.01,38000,10597,710,10016,http://www.l3t.com,12859,,-8.3,,NY
274,HollyFrontier Corporation,HFC,Petroleum Refining,Energy,"Dallas, TX",2828 N. Harwood,10,George J. Damiris,-1.48,2676,10536,-260.5,75201,http://www.hollyfrontier.com,5048,,-20.4,-135.2,TX
275,"Praxair, Inc.",PX,Chemicals,Chemicals,"Danbury, CT",10 Riverview Dr.,23,Stephen F. Angel,5.21,26498,10534,1500,6810,http://www.praxair.com,33834,,-2.2,-3,CT
276,"Universal Health Services, Inc.",UHS,Health Care: Medical Facilities,Health Care,"King of Prussia, PA",367 S. Gulph Rd.,14,Alan B. Miller,7.14,70863,10508,702.4,19406,http://www.uhsinc.com,12022,,7.4,3.2,PA
277,Discover Financial Services,DFS,Commercial Banks,Financials,"Riverwoods, IL",2500 Lake Cook Rd.,9,David W. Nelms,5.77,15549,10497,2393,60015,http://www.discover.com,26255,,4.9,4.2,IL
278,Occidental Petroleum Corporation,OXY,"Mining, Crude-Oil Production",Energy,"Houston, TX",5 Greenway Plaza,23,Vicki A. Hollub,-0.75,11000,10398,-574,77046,http://www.oxy.com,48444,,-18.1,,TX
279,United States Steel Corporation,X,Metals,Materials,"Pittsburgh, PA",600 Grant St.,15,David B. Burritt,-2.81,29800,10261,-440,15219,http://www.ussteel.com,5893,,-11.3,,PA
280,Sempra Energy,SRE,Utilities: Gas and Electric,Energy,"San Diego, CA",488 Eighth Ave.,19,Debra L. Reed,5.46,16575,10183,1370,92101,http://www.sempra.com,27692,,-0.5,1.6,CA
281,Baxter International Inc.,BAX,Medical Products and Equipment,Health Care,"Deerfield, IL",1 Baxter Pkwy.,23,Jose E. Almeida,9.01,48000,10163,4965,60015,http://www.baxter.com,28106,,2,412.9,IL
282,"W.W. Grainger, Inc.",GWW,Wholesalers: Diversified,Wholesalers,"Lake Forest, IL",100 Grainger Pkwy.,23,D.G. Macpherson,9.87,25000,10137,605.9,60045,http://www.grainger.com,13668,,1.6,-21.2,IL
283,"Autoliv, Inc.",ALV,Motor Vehicles and Parts,Motor Vehicles & Parts,"Auburn Hills, MI",1320 Pacific Dr.,19,Jan Carlson,6.42,65900,10074,567.1,48326,http://www.autoliv.com,9032,,9.9,24.1,MI
284,Norfolk Southern Corporation,NSC,Railroads,Transportation,"Norfolk, VA",3 Commercial Place,23,James A. Squires,5.62,27856,9888,1668,23510,http://www.nscorp.com,32515,,-5.9,7.2,VA
285,Baker Hughes Incorporated,BHGE,"Oil and Gas Equipment, Services",Energy,"Houston, TX",17021 Aldine Westfield Rd.,23,Lorenzo Simonelli,-6.31,33000,9841,-2738,77073,http://www.bhge.com,25444,,-37.5,,TX
286,Ally Financial Inc.,ALLY,Diversified Financials,Financials,"Detroit, MI",500 Woodward Ave.,10,Jeffrey J. Brown,2.15,7600,9835,1067,48226,http://www.ally.com,9437,,3.1,-17.2,MI
287,"Sonic Automotive, Inc",SAH,"Automotive Retailing, Services",Retailing,"Charlotte, NC",4401 Colwick Rd.,18,B. Scott Smith,2.03,9800,9732,93.2,28211,http://www.sonicautomotive.com,900,,1.1,8,NC
288,"Owens & Minor, Inc.",OMI,Wholesalers: Health Care,Wholesalers,"Mechanicsville, VA",9120 Lockwood Blvd.,23,P. Cody Phipps,1.76,7900,9723,108.8,23116,http://www.owens-minor.com,2114,,-0.5,5.2,VA
289,Huntsman Corporation,HUN,Chemicals,Chemicals,"The Woodlands, TX",10003 Woodloch Forest Dr.,12,Peter R. Huntsman,1.36,15000,9657,326,77380,http://www.huntsman.com,5880,,-6.2,250.5,TX
290,Laboratory Corporation of America Holdings,LH,Health Care: Pharmacy and Other Services,Health Care,"Burlington, NC",358 S. Main St.,8,David P. King,7.02,52000,9642,732.1,27215,http://www.labcorp.com,14696,,11.1,67.6,NC
291,Murphy USA Inc.,MUSA,Specialty Retailers: Other,Retailing,"El Dorado, AR",200 Peach St.,4,R. Andrew Clyde,5.59,6600,9633,221.5,71730,http://www.murphyusa.com,2706,,-11.5,25.6,AR
292,"Advance Auto Parts, Inc.",AAP,Specialty Retailers: Other,Retailing,"Roanoke, VA",5008 Airport Rd.,15,Thomas R. Greco,6.2,57500,9568,459.6,24012,http://www.advanceautoparts.com,10944,,-1.7,-2.9,VA
293,"Fidelity National Financial, Inc.",FNF,Insurance: Property and Casualty (Stock),Financials,"Jacksonville, FL",601 Riverside Ave.,10,Raymond R. Quirk,,55219,9554,650,32204,http://www.fnf.com,10600,,4.6,23.3,FL
294,"Air Products & Chemicals, Inc.",APD,Chemicals,Chemicals,"Allentown, PA",7201 Hamilton Blvd.,23,Seifi Ghasemi,2.89,18450,9524,631.1,18195,http://www.airproducts.com,29438,,-3.7,-50.6,PA
295,Hormel Foods Corporation,HRL,Food Consumer Products,"Food, Beverages & Tobacco","Austin, MN",1 Hormel Place,23,James P. Snee,1.64,21100,9523,890.1,55912,http://www.hormelfoods.com,18316,,2.8,29.7,MN
296,"Hertz Global Holdings, Inc.",HTZ,"Automotive Retailing, Services",Retailing,"Estero, FL",8501 Williams Rd.,10,Kathryn V. Marinello,-5.85,36000,9480,-491,33928,http://www.hertz.com,1456,,-10,-279.9,FL
297,MGM Resorts International,MGM,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","Las Vegas, NV",3600 Las Vegas Blvd. S.,17,James J. Murren,1.92,66500,9455,1101.4,89109,http://www.mgmresorts.com,15733,,2.9,,NV
298,Corning Incorporated,GLW,"Electronics, Electrical Equipment",Industrials,"Corning, NY",1 Riverfront Plaza,22,Wendell P. Weeks,3.23,40700,9390,3695,14831,http://www.corning.com,25030,,3.1,176,NY
299,"Republic Services, Inc.",RSG,Waste Management,Business Services,"Phoenix, AZ",18500 N. Allied Way,8,Donald W. Slager,1.78,33000,9388,612.6,85054,http://www.republicservices.com,21312,,3,-18.3,AZ
300,Alcoa Corporation,AA,Metals,Materials,"New York, NY",390 Park Ave.,1,Roy C. Harvey,-2.19,14000,9318,-400,10022,http://www.alcoa.com,6337,,,,NY
301,"Fidelity National Information Services, Inc.",FIS,Financial Data Services,Business Services,"Jacksonville, FL",601 Riverside Ave.,8,Gary A. Norcross,1.72,55000,9241,568,32204,http://www.fisglobal.com,26178,,40.1,-10.1,FL
302,Pacific Life,,"Insurance: Life, Health (Stock)",Financials,"Newport Beach, CA",700 Newport Center Dr.,21,James T. Morris,,3628,9169,824,92660,http://www.pacificlife.com,,,6.1,24.7,CA
303,"SunTrust Banks, Inc.",STI,Commercial Banks,Financials,"Atlanta, GA",303 Peachtree St. N.E.,23,William H. Rogers Jr.,3.6,24375,9161,1878,30308,http://www.suntrust.com,27175,,7.4,-2.8,GA
304,LKQ Corporation,LKQ,Wholesalers: Diversified,Wholesalers,"Chicago, IL",500 W. Madison St.,4,Dominick P. Zarcone,1.5,42500,9082,464,60661,http://www.lkqcorp.com,9021,,26.3,9.6,IL
305,BorgWarner Inc.,BWA,Motor Vehicles and Parts,Motor Vehicles & Parts,"Auburn Hills, MI",3850 Hamlin Rd.,11,James R. Verrier,0.55,27000,9071,118.5,48326,http://www.borgwarner.com,8895,,13.1,-80.6,MI
306,Ball Corporation,BLL,"Packaging, Containers",Materials,"Broomfield, CO",10 Longs Peak Dr.,21,John A. Hayes,0.82,18450,9061,263,80021,http://www.ball.com,13000,,13.3,-6.4,CO
306,"CST Brands, Inc.",CST,Specialty Retailers: Other,Retailing,"San Antonio, TX",19500 Bulverde Rd.,4,Brian P. Hannasch,4.24,12380,9061,324,78259,http://www.cstbrands.com,3645,,-4.6,117.4,TX
306,Public Service Enterprise Group Incorporated,PEG,Utilities: Gas and Electric,Energy,"Newark, NJ",80 Park Plaza,23,Ralph Izzo,1.75,13065,9061,887,7102,http://www.pseg.com,22451,,-13,-47.2,NJ
309,Eastman Chemical Company,EMN,Chemicals,Chemicals,"Kingsport, TN",200 S. Wilcox Dr.,23,Mark J. Costa,5.75,14000,9008,854,37660,http://www.eastman.com,11783,,-6.6,0.7,TN
310,eBay Inc.,EBAY,Internet Services and Retailing,Technology,"San Jose, CA",2025 Hamilton Ave.,12,Devin N. Wenig,6.35,12600,8979,7266,95125,http://www.ebay.com,36232,,-5.4,321.2,CA
311,"Mohawk Industries, Inc.",MHK,"Home Equipment, Furnishings",Household Products,"Calhoun, GA",160 S. Industrial Blvd.,18,Jeffrey S. Lorberbaum,12.48,37800,8959,930.4,30701,http://www.mohawkind.com,17025,,11,51.2,GA
312,"ONEOK, Inc.",OKE,Pipelines,Energy,"Tulsa, OK",100 W. Fifth St.,15,Terry K. Spencer,1.66,2384,8921,352,74103,http://www.oneok.com,11684,,14.9,43.7,OK
313,Frontier Communications Corporation,FTR,Telecommunications,Telecommunications,"Norwalk, CT",401 Merritt 7,4,Daniel J. McCarthy,-0.51,28332,8896,-373,6851,http://www.frontier.com,2521,,59.5,,CT
314,"Netflix, Inc.",NFLX,Internet Services and Retailing,Technology,"Los Gatos, CA",100 Winchester Circle,3,Reed Hastings,0.43,3850,8831,186.7,95032,http://www.netflix.com,63619,,30.3,52.2,CA
315,American Family Insurance Group,,Insurance: Property and Casualty (Stock),Financials,"Madison, WI",6000 American Pkwy.,21,Jack C. Salzwedel,,10471,8829,325.6,53783,http://www.amfam.com,,,6.6,-53.1,WI
316,Thrivent Financial for Lutherans,,"Insurance: Life, Health (Mutual)",Financials,"Minneapolis, MN",625 Fourth Ave. S.,23,Bradford L. Hewitt,,3282,8777,587.8,55415,http://www.thrivent.com,,,-0.1,-23.6,MN
317,"Expedia, Inc.",EXPE,Internet Services and Retailing,Technology,"Bellevue, WA",333 108th Ave. N.E.,3,Dara Khosrowshahi,1.82,20075,8774,281.8,98004,http://www.expediainc.com,18901,,31.5,-63.1,WA
318,"Lithia Motors, Inc.",LAD,"Automotive Retailing, Services",Retailing,"Medford, OR",150 N. Bartlett St.,3,Bryan B. DeBoer,7.72,11170,8678,197.1,97501,http://www.lithiamotors.com,2156,,10.3,7.7,OR
319,"Avis Budget Group, Inc.",CAR,"Automotive Retailing, Services",Retailing,"Parsippany, NJ",6 Sylvan Way,20,Larry D. De Shon,1.75,25600,8659,163,7054,http://www.avisbudgetgroup.com,2528,,1.8,-47.9,NJ
320,Reliance Steel & Aluminum Co.,RS,Metals,Materials,"Los Angeles, CA",350 S. Grand Ave.,11,Gregg J. Mollins,4.16,14500,8613,304.3,90071,http://www.rsac.com,5830,,-7.9,-2.3,CA
321,GameStop Corp.,GME,Specialty Retailers: Other,Retailing,"Grapevine, TX",625 Westport Pkwy.,11,J. Paul Raines,3.4,41750,8608,353.2,76051,http://www.gamestopcorp.com,2282,,-8.1,-12.3,TX
322,Tenneco Inc.,TEN,Motor Vehicles and Parts,Motor Vehicles & Parts,"Lake Forest, IL",500 N. Field Dr.,23,Brian J. Kesseler,6.44,31000,8599,363,60045,http://www.tenneco.com,3390,,4.8,47,IL
323,"O'Reilly Automotive, Inc.",ORLY,Specialty Retailers: Other,Retailing,"Springfield, MO",233 S. Patterson Ave.,8,Gregory L. Henslee,10.73,58397,8593,1037.7,65802,http://www.oreillyauto.com,24730,,7.9,11.4,MO
324,"Peter Kiewit Sons', Inc.",,"Engineering, Construction",Engineering & Construction,"Omaha, NE",1000 Kiewit Plaza,18,Bruce E. Grewcock,,20000,8573,396,68131,http://www.kiewit.com,,,-4.7,57.8,NE
325,"United Natural Foods, Inc.",UNFI,Wholesalers: Food and Grocery,Wholesalers,"Providence, RI",313 Iron Horse Way,5,Steven L. Spinner,2.5,9554,8470,125.8,2908,http://www.unfi.com,2187,,3.5,-9.3,RI
326,"salesforce.com, inc.",CRM,Computer Software,Technology,"San Francisco, CA",1 Market St.,3,Marc R. Benioff,0.26,25000,8392,179.6,94105,http://www.salesforce.com,58362,,25.9,,CA
327,Boston Scientific Corporation,BSX,Medical Products and Equipment,Health Care,"Marlborough, MA",300 Boston Scientific Way,14,Michael F. Mahoney,0.25,27000,8386,347,1752,http://www.bostonscientific.com,34046,,12.2,,MA
328,Newmont Mining Corporation,NEM,"Mining, Crude-Oil Production",Energy,"Greenwood Village, CO",6363 S. Fiddler's Green Circle,14,Gary J. Goldberg,-1.18,12438,8379,-627,80111,http://www.newmont.com,17518,,8.4,-385,CO
329,"Genworth Financial, Inc.",GNW,"Insurance: Life, Health (Stock)",Financials,"Richmond, VA",6620 W. Broad St.,12,Thomas J. McInerney,-0.56,3400,8369,-277,23230,http://www.genworth.com,2056,,-9.5,,VA
330,"Live Nation Entertainment, Inc.",LYV,Entertainment,Media,"Beverly Hills, CA",9348 Civic Center Dr.,8,Michael Rapino,-0.23,11500,8355,2.9,90210,http://www.livenationentertainment.com,6219,,15.3,,CA
331,Veritiv Corp,VRTV,Wholesalers: Diversified,Wholesalers,"Atlanta, GA",1000 Abernathy Rd. N.E.,2,Mary A. Laschinger,1.3,8700,8327,21,30328,http://www.veritivcorp.com,813,,-4.5,-21.3,GA
332,News Corporation,NWSA,"Publishing, Printing",Media,"New York, NY",1211 Ave. of the Americas,3,Robert J. Thomson,0.3,24000,8319,179,10036,http://www.newscorp.com,7559,,-3.6,,NY
333,"Crown Holdings, Inc.",CCK,"Packaging, Containers",Materials,"Philadelphia, PA",1 Crown Way,23,Timothy J. Donahue,3.56,23992,8284,496,19154,http://www.crowncork.com,7367,,-5.5,26.2,PA
334,Global Partners LP,GLP,Wholesalers: Diversified,Wholesalers,"Waltham, MA",800 South St.,11,Eric Slifka,-5.91,1770,8240,-199.4,2453,http://www.globalp.com,663,,-20.1,-557.8,MA
335,PVH Corp.,PVH,Apparel,Apparel,"New York, NY",200 Madison Ave.,7,Emanuel Chirico,6.79,26650,8203,549,10016,http://www.pvh.com,8092,,2.3,-4.1,NY
336,"Level 3 Communications, Inc.",LVLT,Telecommunications,Telecommunications,"Broomfield, CO",1025 Eldorado Blvd.,13,Jeffrey K. Storey,1.87,12600,8172,677,80021,http://www.level3.com,20638,,-0.7,-80.3,CO
337,Navistar International Corporation,NAV,Construction and Farm Machinery,Industrials,"Lisle, IL",2701 Navistar Dr.,21,Troy A. Clarke,-1.19,11300,8111,-97,60532,http://www.navistar.com,2416,,-20,,IL
338,Univar Inc.,UNVR,Wholesalers: Diversified,Wholesalers,"Downers Grove, IL",3075 Highland Pkwy.,2,Stephen D. Newlin,-0.5,8700,8074,-68.4,60515,http://www.univar.com,4293,,-10.1,-514.5,IL
339,Campbell Soup Company,CPB,Food Consumer Products,"Food, Beverages & Tobacco","Camden, NJ",1 Campbell Place,23,Denise M. Morrison,1.81,16500,7961,563,8103,http://www.campbellsoupcompany.com,17423,,-1.5,-18.5,NJ
340,"Dick's Sporting Goods, Inc.",DKS,Specialty Retailers: Other,Retailing,"Coraopolis, PA",345 Court St.,8,Edward W. Stack,2.56,27550,7922,287.4,15108,http://www.dicks.com,5489,,9,-13,PA
341,Weyerhaeuser Company,WY,Forest and Paper Products,Materials,"Seattle, WA",220 Occidental Ave. S.,23,Doyle R. Simons,1.39,10400,7902,1027,98104,http://www.weyerhaeuser.com,25451,,11.6,103,WA
342,Mutual of Omaha Insurance Company,,"Insurance: Life, Health (Stock)",Financials,"Omaha, NE",Mutual of Omaha Plaza,21,James T. Blackledge,,5732,7899,356.6,68175,http://www.mutualofomaha.com,,,9.2,7.1,NE
343,Chesapeake Energy Corporation,CHK,"Mining, Crude-Oil Production",Energy,"Oklahoma City, OK",6100 N. Western Ave.,12,Robert D. Lawler,-6.45,3300,7872,-4401,73118,http://www.chk.com,5394,,-38.3,,OK
344,Anadarko Petroleum Corporation,APC,"Mining, Crude-Oil Production",Energy,"The Woodlands, TX",1201 Lake Robbins Dr.,17,R. A. Walker,-5.9,4500,7869,-3071,77380,http://www.anadarko.com,34640,,-9.5,,TX
345,"The Interpublic Group of Companies, Inc.",IPG,"Advertising, Marketing",Business Services,"New York, NY",909 Third Ave.,20,Michael I. Roth,1.49,49800,7847,608.5,10022,http://www.interpublic.com,9648,,3.1,33.9,NY
346,The J.M. Smucker Company,SJM,Food Consumer Products,"Food, Beverages & Tobacco","Orrville, OH",1 Strawberry Lane,7,Mark T. Smucker,5.76,6910,7811,688.7,44667,http://www.jmsmucker.com,15263,,37.2,99.7,OH
347,"Steel Dynamics, Inc.",STLD,Metals,Materials,"Fort Wayne, IN",7575 W. Jefferson Blvd.,8,Mark D. Millett,1.56,7695,7777,382.1,46804,http://www.steeldynamics.com,8425,,2.4,,IN
348,"Foot Locker, Inc.",FL,Specialty Retailers: Apparel,Retailing,"New York, NY",330 W. 34th St.,23,Richard A. Johnson,4.91,32965,7766,664,10001,http://www.footlocker-inc.com,9818,,4.8,22.7,NY
349,"Western Refining, Inc.",WNR,Petroleum Refining,Energy,"El Paso, TX",212 N. Clark Dr.,10,Jeff A. Stevens,1.24,7134,7743,124.9,79905,http://www.wnr.com,3812,,-20.9,-69.3,TX
350,SpartanNash Company,SPTN,Wholesalers: Food and Grocery,Wholesalers,"Byron Center, MI",850 76th St. S.W.,7,David M. Staples,1.51,11500,7735,56.8,49315,http://www.spartannash.com,1313,,1.1,-9.4,MI
351,Dean Foods Company,DF,Food Consumer Products,"Food, Beverages & Tobacco","Dallas, TX",2711 N. Haskell Ave.,19,Ralph P. Scozzafava,1.31,17000,7710,119.9,75204,http://www.deanfoods.com,1786,,-5.1,,TX
352,"Zimmer Biomet Holdings, Inc.",ZBH,Medical Products and Equipment,Health Care,"Warsaw, IN",345 E. Main St.,2,Daniel P. Florin,1.51,18500,7684,305.9,46580,http://www.zimmerbiomet.com,24571,,28.1,108.1,IN
353,"PulteGroup, Inc.",PHM,Homebuilders,Engineering & Construction,"Atlanta, GA",3350 Peachtree Rd. N.E.,15,Ryan R. Marshall,1.75,4623,7669,602.7,30326,http://www.pultegroupinc.com,7466,,28.2,22,GA
354,W.R. Berkley Corporation,WRB,Insurance: Property and Casualty (Stock),Financials,"Greenwich, CT",475 Steamboat Rd.,14,W. Robert Berkley Jr.,4.68,7608,7654,601.9,6830,http://www.wrberkley.com,8561,,6.2,19.5,CT
355,"Quanta Services, Inc.",PWR,"Engineering, Construction",Engineering & Construction,"Houston, TX",2800 Post Oak Blvd.,5,Earl C. Austin Jr.,1.26,28100,7651,198.4,77056,http://www.quantaservices.com,5386,,0.2,-36.2,TX
356,"EOG Resources, Inc.",EOG,"Mining, Crude-Oil Production",Energy,"Houston, TX",1111 Bagby St.,9,William R. Thomas,-1.98,2650,7651,-1096.7,77002,http://www.eogresources.com,56302,,-12.6,,TX
