ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,eps,employees,revenues,profits,hq zip,website,market value,global 500 rank,revenue change,profit change,hq state
786,Verso Corporation,VRS,Forest and Paper Products,Materials,"Memphis, TN",6775 Lenox Center Court,,B. Christopher DiSantis,,4500,2641,,38115,http://www.versoco.com,206,,-15.4,,TN
787,"Qorvo, Inc.",QRVO,Semiconductors and Other Electronic Components,Technology,"Greensboro, NC",7628 Thorndike Rd.,,Robert A. Bruggeworth,-0.2,7300,2611,-28.8,27409,http://www.qorvo.com,8670,,52.6,-114.7,NC
788,Ciena Corporation,CIEN,Network and Other Communications Equipment,Technology,"Hanover, MD",7035 Ridge Rd.,,Gary B. Smith,0.51,5555,2601,72.6,21076,http://www.ciena.com,3337,,6.3,522.1,MD
789,"Tetra Tech, Inc.",TTEK,"Engineering, Construction",Engineering & Construction,"Pasadena, CA",3475 E. Foothill Blvd.,,Dan L. Batrack,1.42,16000,2584,83.8,91107,http://www.tetratech.com,2341,,12.4,114.4,CA
790,"Caleres, Inc.",CAL,Specialty Retailers: Apparel,Retailing,"St. Louis, MO",8300 Maryland Ave.,,Diane M. Sullivan,1.52,12000,2579,65.7,63105,http://www.caleres.com,1135,,0.1,-19.4,MO
791,Pool Corporation,POOL,Wholesalers: Diversified,Wholesalers,"Covington, LA",109 Northpark Blvd.,,Manuel J. Perez de la Mesa,3.47,3900,2571,149,70433,http://www.poolcorp.com,4927,,8.8,16.1,LA
792,"Hyster-Yale Materials Handling, Inc.",HY,Industrial Machinery,Industrials,"Cleveland, OH",5875 Landerbrook Dr.,,Alfred M. Rankin Jr.,2.61,6500,2570,42.8,44124,http://www.hyster-yale.com,928,,-0.3,-42.7,OH
793,"Westar Energy, Inc.",WR,Utilities: Gas and Electric,Energy,"Topeka, KS",818 S. Kansas Ave.,,Mark A. Ruelle,2.43,2254,2562,346.6,66612,http://www.westarenergy.com,7709,,4.2,18.7,KS
794,Public Storage,PSA,Real Estate,Business Services,"Glendale, CA",701 Western Ave.,,Ronald L. Havner Jr.,6.81,5500,2561,1453.6,91201,http://www.publicstorage.com,37983,,7.5,10.9,CA
795,Plexus Corp.,PLXS,Semiconductors and Other Electronic Components,Technology,"Neenah, WI",1 Plexus Way,,Todd P. Kelsey,2.24,14000,2556,76.4,54956,http://www.plexus.com,1947,,-3.7,-19,WI
796,"Boston Properties, Inc.",BXP,Real Estate,Financials,"Boston, MA",800 Boylston St.,,Owen D. Thomas,3.26,785,2551,512.8,2199,http://www.bostonproperties.com,20370,,2.4,-12.1,MA
797,"GNC Holdings, Inc.",GNC,Food and Drug Stores,Food & Drug Stores,"Pittsburgh, PA",300 Sixth Ave.,,Robert F. Moran,-4.12,11650,2540,-286.3,15222,http://www.gnc.com,503,,-3.8,-230.5,PA
798,"HCP, Inc.",HCP,Real Estate,Financials,"Irvine, CA",1920 Main St.,,Thomas M. Herzog,1.34,188,2538,627.7,92614,http://www.hcpi.com,14652,,-0.2,,CA
799,Penn Mutual Life Insurance Co.,,"Insurance: Life, Health (Stock)",Financials,"Horsham, PA",600 Dresher Rd.,,Eileen C. McDonnell,,1029,2537,210.8,19044,http://www.pennmutual.com,,,10.8,1.1,PA
